Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Kelly Slater,"Kelly Slater is an American professional surfer, author, actor, model, businessman, and innovator.",https://en.wikipedia.org/wiki/Kelly_Slater,//www.instagram.com/kellyslater,//www.twitter.com/kellyslater,,
Jim Lee,"Jim Lee is a Korean American comic-book artist, writer, editor, and publisher.",https://en.wikipedia.org/wiki/Jim_Lee,//www.instagram.com/jimlee,//www.twitter.com/JimLee,,
Jia Tolentino,Jia Tolentino is an American writer and editor.,https://en.wikipedia.org/wiki/Jia_Tolentino,//www.instagram.com/jiatortellini,//www.twitter.com/jiatolentino,,
Jenny Lawson,"Jenny Lawson is an American journalist, author and blogger.",https://en.wikipedia.org/wiki/Jenny_Lawson,//www.instagram.com/jennyl2401,//www.twitter.com/TheBloggess,,
Marissa Mayer,Marissa Mayer is an American businesswoman and investor.,https://en.wikipedia.org/wiki/Marissa_Mayer,//www.instagram.com/marissamayer,//www.twitter.com/marissamayer,,
Katrín Davíðsdóttir,Katrín Davíðsdóttir is an Icelandic CrossFit athlete and the women's champion of the 2015 and 2016 CrossFit Games.,https://en.wikipedia.org/wiki/Katr%C3%ADn_Dav%C3%AD%C3%B0sd%C3%B3ttir,//www.instagram.com/katrintanja,//www.twitter.com/katrintanja,,
Jeff Weiner,Jeffrey Weiner is an American businessman.,https://en.wikipedia.org/wiki/Jeff_Weiner,,,,
Katie Couric,"Katie Couric is an American television personality, journalist, and author.",https://en.wikipedia.org/wiki/Katie_Couric,//www.instagram.com/katiecouric,//www.twitter.com/katiecouric,,
Jay Shetty,"Jay Shetty is an English podcaster, author, and life coach.",https://en.wikipedia.org/wiki/Jay_Shetty,//www.instagram.com/jayshetty,//www.twitter.com/jayshetty,,
Jason Ferruggia,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/JasonFerruggia,,
Kaskade,"Kaskade is an American DJ, record producer and remixer.",https://en.wikipedia.org/wiki/Kaskade,//www.instagram.com/kaskade,//www.twitter.com/kaskade,,
Jared Leto,Jared Leto is an American actor and musician.,https://en.wikipedia.org/wiki/Jared_Leto,//www.instagram.com/jaredleto,//www.twitter.com/JaredLeto,,
Jen Rubio,"Jen Rubio is the co-founder, President, and CEO of Away.",https://en.wikipedia.org/wiki/Jen_Rubio,//www.instagram.com/jennifer,//www.twitter.com/jennifer,,
Jack Canfield,"Jack Canfield is an American author, motivational speaker, corporate trainer, and entrepreneur.",https://en.wikipedia.org/wiki/Jack_Canfield,//www.instagram.com/jackcanfield_official,//www.twitter.com/JackCanfield,,
Harry Styles,"Harry Styles is an English singer, songwriter, and actor.",https://en.wikipedia.org/wiki/Harry_Styles,//www.instagram.com/harrystyles,//www.twitter.com/Harry_Styles,,
Gloria Steinem,Gloria Steinem is an American journalist and social-political activist.,https://en.wikipedia.org/wiki/Gloria_Steinem,//www.instagram.com/gloriasteinem,//www.twitter.com/GloriaSteinem,,
