Name,Link,Number of Books,Image URL
Andrew Wilkinson,https://www.mostrecommendedbooks.com/andrew-wilkinson-books,28,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Andrew%20Wilkinson.jpg
Walter Isaacson,https://www.mostrecommendedbooks.com/walter-isaacson-books,21,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Walter%20Isaacson.jpg
Dustin Moskovitz,https://www.mostrecommendedbooks.com/dustin-moskovitz-books,22,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Dustin%20Moskovitz.png
Caterina Fake,https://www.mostrecommendedbooks.com/caterina-fake-books,24,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Caterina%20Fake.jpeg
Nick Szabo,https://www.mostrecommendedbooks.com/nick-szabo-books,23,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Nick%20Szabo.png
Ben Horowitz,https://www.mostrecommendedbooks.com/ben-horowitz-books,21,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Ben%20Horowitz.jpg
Michelle Obama,https://www.mostrecommendedbooks.com/michelle-obama-books,12,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Michelle%20Obama.png
Kevin Kelly,https://www.mostrecommendedbooks.com/kevin-kelly-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kevin%20Kelly.png
Josh Waitzkin,https://www.mostrecommendedbooks.com/josh-waitzkin-books,16,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Josh%20Waitzkin.png
Esther Perel,https://www.mostrecommendedbooks.com/esther-perel-books,22,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Esther%20Perel.png
Tim Urban,https://www.mostrecommendedbooks.com/tim-urban-books,30,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Tim%20Urban.jpeg
Steven Pinker,https://www.mostrecommendedbooks.com/steven-pinker-books,16,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Steven%20Pinker.jpg
Selena Gomez,https://www.mostrecommendedbooks.com/selena-gomez-books,3,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Selena%20Gomez.jpg
Scott Adams,https://www.mostrecommendedbooks.com/scott-adams-books,17,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Scott%20Adams.png
Satya Nadella,https://www.mostrecommendedbooks.com/satya-nadella-books,20,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Satya%20Nadella.png
Bryan Johnson,https://www.mostrecommendedbooks.com/bryan-johnson-books,22,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Bryan%20Johnson.jpg
Neil deGrasse Tyson,https://www.mostrecommendedbooks.com/neil-degrasse-tyson-books,13,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Neil%20deGrasse%20Tyson.png
Matt Ridley,https://www.mostrecommendedbooks.com/matt-ridley-books,23,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Matt%20Ridley.png
Kathryn Minshew,https://www.mostrecommendedbooks.com/kathryn-minshew-books,20,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Kathryn%20Minshew.png
Brianne Kimmel,https://www.mostrecommendedbooks.com/brianne-kimmel-books,20,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Brianne%20Kimmel.jpg
Jeff Atwood,https://www.mostrecommendedbooks.com/jeff-atwood-books,19,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jeff%20Atwood.png
Jason Calacanis,https://www.mostrecommendedbooks.com/jason-calacanis-books,26,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Jason%20Calacanis.png
Tim Draper,https://www.mostrecommendedbooks.com/tim-draper-books,25,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Tim%20Draper.jpg
Taylor Swift,https://www.mostrecommendedbooks.com/taylor-swift-books,26,https://d3bxjxywei423j.cloudfront.net/public/user_picture/size300x300_Taylor%20Swift.png
